iShares Core S&P 500 ETF
Fund Holdings as of,"Aug 25, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,148,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CRM","SALESFORCE","Information Technology","Equity","2,246,245,255.53","0.25","2,246,245,255.53","10,920,537.00","205.69","United States","NYSE","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","2,221,179,431.16","0.25","2,221,179,431.16","10,522,927.00","211.08","United States","NYSE","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS","Consumer Discretionary","Equity","2,211,255,663.12","0.25","2,211,255,663.12","10,343,604.00","213.78","United States","NASDAQ","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES","Industrials","Equity","2,183,359,950.95","0.25","2,183,359,950.95","27,173,117.00","80.35","United States","NYSE","USD","1.00","USD","-"
"PFE","PFIZER","Health Care","Equity","2,172,744,528.77","0.25","2,172,744,528.77","76,049,861.00","28.57","United States","NYSE","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","2,144,105,877.76","0.24","2,144,105,877.76","16,262,939.00","131.84","United States","NYSE","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","2,121,134,848.80","0.24","2,121,134,848.80","5,183,614.00","409.20","United States","NYSE","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","2,114,766,951.60","0.24","2,114,766,951.60","3,353,260.00","630.66","United States","NYSE","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","2,073,875,508.00","0.23","2,073,875,508.00","4,600,944.00","450.75","United States","NASDAQ","USD","1.00","USD","-"
"TJX","TJX","Consumer Discretionary","Equity","2,058,959,544.84","0.23","2,058,959,544.84","14,761,683.00","139.48","United States","NYSE","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","1,925,892,167.46","0.22","1,925,892,167.46","14,251,089.00","135.14","United States","NYSE","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS","Health Care","Equity","1,873,249,297.50","0.21","1,873,249,297.50","3,388,350.00","552.85","United States","NASDAQ","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","1,851,476,378.88","0.21","1,851,476,378.88","27,259,664.00","67.92","United States","NYSE","USD","1.00","USD","-"
"DHR","DANAHER","Health Care","Equity","1,816,020,891.84","0.21","1,816,020,891.84","8,408,672.00","215.97","United States","NYSE","USD","1.00","USD","-"
"PLD","PROLOGIS REIT","Real Estate","Equity","1,813,994,083.11","0.21","1,813,994,083.11","12,656,067.00","143.33","United States","NYSE","USD","1.00","USD","-"
