iShares Expanded Tech-Software Sector ETF
Fund Holdings as of,"Aug 25, 2026"
Inception Date,"Jul 10, 2001"
Shares Outstanding,"136,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"RNG","RINGCENTRAL INC CLASS A","Information Technology","Equity","22,841,071.74","0.17","22,841,071.74","348,134.00","65.61","United States","NYSE","USD","1.00","USD","-"
"VRNS","VARONIS SYSTEMS","Information Technology","Equity","22,023,165.58","0.16","22,023,165.58","539,519.00","40.82","United States","NASDAQ","USD","1.00","USD","-"
"BOX","BOX INC CLASS A","Information Technology","Equity","21,468,645.00","0.16","21,468,645.00","650,565.00","33.00","United States","NYSE","USD","1.00","USD","-"
"MARA","MARA HOLDINGS","Information Technology","Equity","21,194,758.13","0.15","21,194,758.13","1,791,611.00","11.83","United States","NASDAQ","USD","1.00","USD","-"
"BILL","BILL HOLDINGS","Information Technology","Equity","19,872,789.43","0.14","19,872,789.43","416,533.00","47.71","United States","NYSE","USD","1.00","USD","-"
"BB","BLACKBERRY","Information Technology","Equity","19,783,982.56","0.14","19,783,982.56","2,539,664.00","7.79","Canada","NYSE","USD","1.00","USD","-"
"YOU","CLEAR SECURE CLASS A","Information Technology","Equity","19,058,031.29","0.14","19,058,031.29","430,301.00","44.29","United States","NYSE","USD","1.00","USD","-"
"QTWO","Q2 HOLDINGS INC","Information Technology","Equity","18,793,754.62","0.14","18,793,754.62","294,158.00","63.89","United States","NYSE","USD","1.00","USD","-"
"DLB","DOLBY LABORATORIES CLASS A","Information Technology","Equity","18,750,507.96","0.14","18,750,507.96","283,583.00","66.12","United States","NYSE","USD","1.00","USD","-"
"CCC","CCC INTELLIGENT SOLUTIONS HOLDINGS","Information Technology","Equity","18,724,465.72","0.14","18,724,465.72","2,509,982.00","7.46","United States","NASDAQ","USD","1.00","USD","-"
